Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
303401;ONDERLEGPLAAT TBV NEMEF 2040 2041 2043  6MM;1.68;;0.84;1;st;1165;9204090010;ASSA ABLOY;;
303410;RAAMUITZETTER NEMEF AFSLUITBAAR SKG**  2044/17 SKG**;27.80;;13.90;1;st;1163;A000126955;ASSA ABLOY;;
303412;RAAMUITZETTER NEMEF AFSLUITBAAR SKG**  2046/17 VERHOOGDE VOET RVS;39.45;;19.72;1;st;1163;A000127409;ASSA ABLOY;;
303490;VALSCHAAR HAUTAU 113 OPDEK  LINKS ALLEEN TBV OPDEK STOMP SCHAAR 3DE;9.68;;5.81;1;st;1151;459567;MACO;;
303491;VALSCHAAR HAUTAU 113 OPDEK  RECHTS ALLEEN TBV OPDEK STOMP SCHAAR 3DE;9.68;;5.81;1;st;1151;459568;MACO;;
303494;MONTAGEPLAAT HAUTAU VALSCHAAR  TBV OPDEK VALRAAM (INDIEN GEEN PKVW);1.77;;1.06;1;st;1151;476091;MACO;;
303496;MONTAGENOK HAUTAU VALSCHAAR  TBV OPDEK VALRAAM (INDIEN PKVW);0.99;;0.59;1;st;1151;200543;MACO;;
303504;KOPPELBUIS HAUTAU EV1  1000MM;17.79;;10.67;1;st;1151;108410;MACO;;
303506;KOPPELBUIS HAUTAU EV1  3000MM;43.85;;26.31;1;st;1151;108446;HAUTAU;;
303508;HOEKKAP HAUTAU PRIMAT A / FL190  TBV HOEKOMLEGGING;0.70;;0.42;1;st;1151;321563;MACO;;
303531;KANTESPAGNOLET MET 2 ROLNOKKEN  600MM DM25 VP16 M5;74.72;;37.36;1;st;1109;15440406;HABO;;
303532;KANTESPAGNOLET MET 2 ROLNOKKEN  800MM DM25 VP16 M5;77.57;;38.78;1;st;1109;15440408;HABO;;
303533;KANTESPAGNOLET MET 3 ROLNOKKEN  1000MM DM25 VP16 M5;85.12;;42.56;1;st;1109;15440410;HABO;;
